observation_date,CAUCSFRCONDOSMSAMID
2000-01-01,189538
2000-02-01,190175
2000-03-01,191035
2000-04-01,192903
2000-05-01,195073
2000-06-01,197415
2000-07-01,199888
2000-08-01,202471
2000-09-01,205059
2000-10-01,207513
2000-11-01,209930
2000-12-01,212296
2001-01-01,214297
2001-02-01,216276
2001-03-01,218504
2001-04-01,221273
2001-05-01,224048
2001-06-01,226569
2001-07-01,228929
2001-08-01,231203
2001-09-01,233410
2001-10-01,235474
2001-11-01,237413
2001-12-01,239226
2002-01-01,240691
2002-02-01,242188
2002-03-01,243941
2002-04-01,246307
2002-05-01,249068
2002-06-01,252133
2002-07-01,255678
2002-08-01,259494
2002-09-01,263349
2002-10-01,267008
2002-11-01,270592
2002-12-01,274127
2003-01-01,277250
2003-02-01,280162
2003-03-01,283246
2003-04-01,286831
2003-05-01,290813
2003-06-01,294496
2003-07-01,298384
2003-08-01,302479
2003-09-01,307028
2003-10-01,311459
2003-11-01,315729
2003-12-01,319858
2004-01-01,324132
2004-02-01,328946
2004-03-01,334437
2004-04-01,340741
2004-05-01,347999
2004-06-01,356100
2004-07-01,364381
2004-08-01,372284
2004-09-01,379769
2004-10-01,386958
2004-11-01,393278
2004-12-01,399384
2005-01-01,404818
2005-02-01,410707
2005-03-01,416898
2005-04-01,423879
2005-05-01,430669
2005-06-01,436949
2005-07-01,442956
2005-08-01,449050
2005-09-01,455172
2005-10-01,461181
2005-11-01,466056
2005-12-01,470371
2006-01-01,473966
2006-02-01,477164
2006-03-01,480209
2006-04-01,482944
2006-05-01,485661
2006-06-01,487541
2006-07-01,488239
2006-08-01,488245
2006-09-01,487198
2006-10-01,486006
2006-11-01,484735
2006-12-01,483632
2007-01-01,482721
2007-02-01,481653
2007-03-01,480126
2007-04-01,478167
2007-05-01,475112
2007-06-01,471593
2007-07-01,467090
2007-08-01,462395
2007-09-01,457118
2007-10-01,451580
2007-11-01,446013
2007-12-01,440046
2008-01-01,434104
2008-02-01,427090
2008-03-01,418712
2008-04-01,408891
2008-05-01,398437
2008-06-01,388285
2008-07-01,378003
2008-08-01,368105
2008-09-01,358960
2008-10-01,351052
2008-11-01,343385
2008-12-01,336030
2009-01-01,329153
2009-02-01,324146
2009-03-01,319999
2009-04-01,316101
2009-05-01,312325
2009-06-01,309025
2009-07-01,306577
2009-08-01,304531
2009-09-01,302929
2009-10-01,302075
2009-11-01,302916
2009-12-01,304842
2010-01-01,306799
2010-02-01,307616
2010-03-01,308660
2010-04-01,309961
2010-05-01,311393
2010-06-01,311327
2010-07-01,310178
2010-08-01,308217
2010-09-01,306215
2010-10-01,304068
2010-11-01,302165
2010-12-01,300811
2011-01-01,299756
2011-02-01,298745
2011-03-01,297256
2011-04-01,295671
2011-05-01,293290
2011-06-01,291374
2011-07-01,289705
2011-08-01,287885
2011-09-01,285712
2011-10-01,283392
2011-11-01,282247
2011-12-01,281500
2012-01-01,281115
2012-02-01,280556
2012-03-01,279928
2012-04-01,279498
2012-05-01,279694
2012-06-01,280799
2012-07-01,282402
2012-08-01,284937
2012-09-01,288360
2012-10-01,292728
2012-11-01,297512
2012-12-01,302603
2013-01-01,307426
2013-02-01,311694
2013-03-01,315360
2013-04-01,319675
2013-05-01,325570
2013-06-01,332704
2013-07-01,339850
2013-08-01,346685
2013-09-01,353384
2013-10-01,359999
2013-11-01,365548
2013-12-01,370018
2014-01-01,373253
2014-02-01,375928
2014-03-01,378361
2014-04-01,381327
2014-05-01,384493
2014-06-01,387100
2014-07-01,388814
2014-08-01,390317
2014-09-01,392798
2014-10-01,395946
2014-11-01,399473
2014-12-01,402730
2015-01-01,405626
2015-02-01,408073
2015-03-01,410076
2015-04-01,412015
2015-05-01,414207
2015-06-01,416454
2015-07-01,418224
2015-08-01,419410
2015-09-01,420425
2015-10-01,421676
2015-11-01,422720
2015-12-01,423672
2016-01-01,426827
2016-02-01,432134
2016-03-01,438163
2016-04-01,442718
2016-05-01,445740
2016-06-01,448410
2016-07-01,449387
2016-08-01,449079
2016-09-01,447603
2016-10-01,447268
2016-11-01,448333
2016-12-01,450903
2017-01-01,455764
2017-02-01,462162
2017-03-01,469110
2017-04-01,474784
2017-05-01,478945
2017-06-01,482510
2017-07-01,484246
2017-08-01,485746
2017-09-01,487326
2017-10-01,490761
2017-11-01,494571
2017-12-01,499048
2018-01-01,504103
2018-02-01,509679
2018-03-01,514762
2018-04-01,518943
2018-05-01,522767
2018-06-01,525881
2018-07-01,528713
2018-08-01,531752
2018-09-01,535181
2018-10-01,538827
2018-11-01,541406
2018-12-01,542918
2019-01-01,542446
2019-02-01,540826
2019-03-01,538990
2019-04-01,537936
2019-05-01,537305
2019-06-01,536916
2019-07-01,537325
2019-08-01,539035
2019-09-01,541648
2019-10-01,544729
2019-11-01,548083
2019-12-01,551559
2020-01-01,554398
2020-02-01,556681
2020-03-01,558881
2020-04-01,560913
2020-05-01,561169
2020-06-01,559954
2020-07-01,559797
2020-08-01,563065
2020-09-01,570322
2020-10-01,579639
2020-11-01,590489
2020-12-01,601311
2021-01-01,610298
2021-02-01,617987
2021-03-01,624952
2021-04-01,634071
2021-05-01,644990
2021-06-01,656714
2021-07-01,667310
2021-08-01,674640
2021-09-01,679611
2021-10-01,684049
2021-11-01,689901
2021-12-01,697114
2022-01-01,707174
2022-02-01,720083
2022-03-01,735649
2022-04-01,749805
2022-05-01,760475
2022-06-01,766148
2022-07-01,766458
2022-08-01,761781
2022-09-01,754301
2022-10-01,747567
2022-11-01,742275
2022-12-01,737739
2023-01-01,730682
2023-02-01,723426.58669000957
2023-03-01,718089.47417831421
2023-04-01,717501.56496380304
2023-05-01,720495.92811290082
2023-06-01,725739.68041360786
2023-07-01,732808.30229032901
2023-08-01,740806.74176454579
2023-09-01,748450.08894750709
2023-10-01,754665.04839018558
2023-11-01,759112.52227862179
2023-12-01,761944.11620397179
2024-01-01,762480.75589218573
2024-02-01,762326.47679746069
2024-03-01,763822.89647627342
2024-04-01,767720.62292455020
2024-05-01,772252.15666808037
2024-06-01,774747.99774912733
2024-07-01,776763.51167099748
2024-08-01,778549.58165877347
2024-09-01,780868.29264880589
2024-10-01,782474.56712762709
2024-11-01,784265.27
2024-12-01,786076.82
2025-01-01,786243.05
2025-02-01,784840.23
